Number (phenomenon),Phenomenon,Number (paradigm),Paradigm,Item,Grammaticality,Sentence,Critical word(s),Cue word(s),
21,Crossing Dependencies,81,cross_dependency,12,Grammatical,Ricardo heeft de ober de pizza zien serveren vanavond.,zien serveren,,
21,Crossing Dependencies,81,cross_dependency,12,Ungrammatical,Ricardo heeft de ober de pizza serveren zien vanavond.,serveren zien,,
21,Crossing Dependencies,81,cross_dependency,13,Grammatical,Lisa heeft de dansers de choreografie zien uitvoeren vorige maand.,zien uitvoeren,,
21,Crossing Dependencies,81,cross_dependency,13,Ungrammatical,Lisa heeft de dansers de choreografie uitvoeren zien vorige maand.,uitvoeren zien,,
21,Crossing Dependencies,81,cross_dependency,14,Grammatical,Naomi heeft de kinderen de taart zien versieren vanmiddag.,zien versieren,,
21,Crossing Dependencies,81,cross_dependency,14,Ungrammatical,Naomi heeft de kinderen de taart versieren zien vanmiddag.,versieren zien,,
21,Crossing Dependencies,81,cross_dependency,15,Grammatical,Thijs heeft de acteur de rol zien spelen vorige week.,zien spelen,,
21,Crossing Dependencies,81,cross_dependency,15,Ungrammatical,Thijs heeft de acteur de rol spelen zien vorige week.,spelen zien,,
21,Crossing Dependencies,81,cross_dependency,16,Grammatical,Anouk heeft de tuinman de bloemen zien planten dit voorjaar.,zien planten,,
21,Crossing Dependencies,81,cross_dependency,16,Ungrammatical,Anouk heeft de tuinman de bloemen planten zien dit voorjaar.,planten zien,,
21,Crossing Dependencies,81,cross_dependency,17,Grammatical,Jonas heeft de chef-kok het gerecht zien bereiden gisteravond.,zien bereiden,,
21,Crossing Dependencies,81,cross_dependency,17,Ungrammatical,Jonas heeft de chef-kok het gerecht bereiden zien gisteravond.,bereiden zien,,
21,Crossing Dependencies,81,cross_dependency,18,Grammatical,Romy heeft de loodgieter de lekkage zien repareren vandaag.,zien repareren,,
21,Crossing Dependencies,81,cross_dependency,18,Ungrammatical,Romy heeft de loodgieter de lekkage repareren zien vandaag.,repareren zien,,
21,Crossing Dependencies,81,cross_dependency,19,Grammatical,Milan heeft de astronaut de raket zien lanceren afgelopen maand.,zien lanceren,,
21,Crossing Dependencies,81,cross_dependency,19,Ungrammatical,Milan heeft de astronaut de raket lanceren zien afgelopen maand.,lanceren zien,,
21,Crossing Dependencies,81,cross_dependency,20,Grammatical,Jeroen heeft de bokser zijn tegenstander zien verslaan vorige week.,zien verslaan,,
21,Crossing Dependencies,81,cross_dependency,20,Ungrammatical,Jeroen heeft de bokser zijn tegenstander verslaan zien vorige week.,verslaan zien,,
21,Crossing Dependencies,81,cross_dependency,21,Grammatical,Lise heeft de schrijver het boek zien schrijven dit jaar.,zien schrijven,,
21,Crossing Dependencies,81,cross_dependency,21,Ungrammatical,Lise heeft de schrijver het boek schrijven zien dit jaar.,schrijven zien,,
21,Crossing Dependencies,81,cross_dependency,22,Grammatical,Bram heeft de bouwvakker het huis zien bouwen afgelopen maand.,zien bouwen,,
21,Crossing Dependencies,81,cross_dependency,22,Ungrammatical,Bram heeft de bouwvakker het huis bouwen zien afgelopen maand.,bouwen zien,,
21,Crossing Dependencies,81,cross_dependency,23,Grammatical,Zoë heeft de zwemmer de afstand zien zwemmen gisteren.,zien zwemmen,,
21,Crossing Dependencies,81,cross_dependency,23,Ungrammatical,Zoë heeft de zwemmer de afstand zwemmen zien gisteren.,zwemmen zien,,
21,Crossing Dependencies,81,cross_dependency,24,Grammatical,Maarten heeft de fietsers de route zien volgen vandaag.,zien volgen,,
21,Crossing Dependencies,81,cross_dependency,24,Ungrammatical,Maarten heeft de fietsers de route volgen zien vandaag.,volgen zien,,
21,Crossing Dependencies,81,cross_dependency,25,Grammatical,Laura heeft de wind de bomen horen ruisen gisteren.,horen ruisen,,
21,Crossing Dependencies,81,cross_dependency,25,Ungrammatical,Laura heeft de wind de bomen ruisen horen gisteren.,ruisen horen,,
21,Crossing Dependencies,81,cross_dependency,26,Grammatical,David heeft de zon de huid voelen branden vandaag.,voelen branden,,
21,Crossing Dependencies,81,cross_dependency,26,Ungrammatical,David heeft de zon de huid branden voelen vandaag.,branden voelen,,
21,Crossing Dependencies,81,cross_dependency,27,Grammatical,Emma heeft de regen de dakpannen horen tikken vorige week.,horen tikken,,?
21,Crossing Dependencies,81,cross_dependency,27,Ungrammatical,Emma heeft de regen de dakpannen tikken horen vorige week.,tikken horen,,
21,Crossing Dependencies,81,cross_dependency,28,Grammatical,Lars heeft de sneeuw de voeten voelen knerpen vanmorgen.,voelen knerpen,,
21,Crossing Dependencies,81,cross_dependency,28,Ungrammatical,Lars heeft de sneeuw de voeten knerpen voelen vanmorgen.,knerpen voelen,,
21,Crossing Dependencies,81,cross_dependency,29,Grammatical,Tim heeft de golven de rotsen horen beuken deze middag.,horen beuken,,
21,Crossing Dependencies,81,cross_dependency,29,Ungrammatical,Tim heeft de golven de rotsen beuken horen deze middag.,beuken horen,,
21,Crossing Dependencies,81,cross_dependency,30,Grammatical,Noa heeft de geur de keuken voelen vullen vanochtend.,voelen vullen,,
21,Crossing Dependencies,81,cross_dependency,30,Ungrammatical,Noa heeft de geur de keuken vullen voelen vanochtend.,vullen voelen,,
21,Crossing Dependencies,81,cross_dependency,31,Grammatical,Finn heeft de kou de handen voelen verstijven vannacht.,voelen verstijven,,
21,Crossing Dependencies,81,cross_dependency,31,Ungrammatical,Finn heeft de kou de handen verstijven voelen vannacht.,verstijven voelen,,
21,Crossing Dependencies,81,cross_dependency,32,Grammatical,Nina heeft de geluiden de stad horen ontwaken vanmorgen.,horen ontwaken,,
21,Crossing Dependencies,81,cross_dependency,32,Ungrammatical,Nina heeft de geluiden de stad ontwaken horen vanmorgen.,ontwaken horen,,
21,Crossing Dependencies,81,cross_dependency,33,Grammatical,Liam heeft de spreker de emoties horen overbrengen gisteren.,horen overbrengen,,
21,Crossing Dependencies,81,cross_dependency,33,Ungrammatical,Liam heeft de spreker de emoties overbrengen horen gisteren.,overbrengen horen,,
21,Crossing Dependencies,81,cross_dependency,34,Grammatical,Sophie heeft de muziek de gevoelens voelen opwekken vorige maand.,voelen opwekken,,
21,Crossing Dependencies,81,cross_dependency,34,Ungrammatical,Sophie heeft de muziek de gevoelens opwekken voelen vorige maand.,opwekken voelen,,
21,Crossing Dependencies,81,cross_dependency,35,Grammatical,Max heeft de chef-kok de smaak horen benadrukken deze avond.,horen benadrukken,,
21,Crossing Dependencies,81,cross_dependency,35,Ungrammatical,Max heeft de chef-kok de smaak benadrukken horen deze avond.,benadrukken horen,,
21,Crossing Dependencies,81,cross_dependency,36,Grammatical,Mia heeft de spanning de kamer voelen vullen afgelopen week.,voelen vullen,,
21,Crossing Dependencies,81,cross_dependency,36,Ungrammatical,Mia heeft de spanning de kamer vullen voelen afgelopen week.,vullen voelen,,
21,Crossing Dependencies,81,cross_dependency,37,Grammatical,Sanne heeft de geluiden de nacht horen doorklieven gisteravond.,horen doorklieven,,
21,Crossing Dependencies,81,cross_dependency,37,Ungrammatical,Sanne heeft de geluiden de nacht doorklieven horen gisteravond.,doorklieven horen,,
21,Crossing Dependencies,81,cross_dependency,38,Grammatical,Alex heeft de klok de uren zien slaan vannacht.,zien slaan,,
21,Crossing Dependencies,81,cross_dependency,38,Ungrammatical,Alex heeft de klok de uren slaan zien vannacht.,slaan zien,,
21,Crossing Dependencies,81,cross_dependency,39,Grammatical,Lisa heeft de regisseur de scènes zien instrueren gisteren.,zien instrueren,,
21,Crossing Dependencies,81,cross_dependency,39,Ungrammatical,Lisa heeft de regisseur de scènes instrueren zien gisteren.,instrueren zien,,
21,Crossing Dependencies,81,cross_dependency,40,Grammatical,Lucas heeft de wolken de lucht zien bedekken vanmiddag.,zien bedekken,,
21,Crossing Dependencies,81,cross_dependency,40,Ungrammatical,Lucas heeft de wolken de lucht bedekken zien vanmiddag.,bedekken zien,,
21,Crossing Dependencies,81,cross_dependency,41,Grammatical,Isabel heeft de lezer de pagina's zien omslaan vandaag.,zien omslaan,,
21,Crossing Dependencies,81,cross_dependency,41,Ungrammatical,Isabel heeft de lezer de pagina's omslaan zien vandaag.,omslaan zien,,
21,Crossing Dependencies,81,cross_dependency,42,Grammatical,Milan heeft de sterren de hemel zien verlichten gisteravond.,zien verlichten,,
21,Crossing Dependencies,81,cross_dependency,42,Ungrammatical,Milan heeft de sterren de hemel verlichten zien gisteravond.,verlichten zien,,
21,Crossing Dependencies,81,cross_dependency,43,Grammatical,Thijs heeft de computer de gegevens zien verwerken vorige week.,zien verwerken,,
21,Crossing Dependencies,81,cross_dependency,43,Ungrammatical,Thijs heeft de computer de gegevens verwerken zien vorige week.,verwerken zien,,
21,Crossing Dependencies,81,cross_dependency,44,Grammatical,Emma heeft de zon de bloemen zien verwarmen vanochtend.,zien verwarmen,,
21,Crossing Dependencies,81,cross_dependency,44,Ungrammatical,Emma heeft de zon de bloemen verwarmen zien vanochtend.,verwarmen zien,,
21,Crossing Dependencies,81,cross_dependency,45,Grammatical,Olivia heeft de golven de kust zien bereiken gisteren.,zien bereiken,,
21,Crossing Dependencies,81,cross_dependency,45,Ungrammatical,Olivia heeft de golven de kust bereiken zien gisteren.,bereiken zien,,
21,Crossing Dependencies,81,cross_dependency,46,Grammatical,Jayden heeft de vlammen het hout zien verteren vanavond.,zien verteren,,
21,Crossing Dependencies,81,cross_dependency,46,Ungrammatical,Jayden heeft de vlammen het hout verteren zien vanavond.,verteren zien,,
21,Crossing Dependencies,81,cross_dependency,47,Grammatical,Esmée heeft de voetballer de bal zien trappen vanmiddag.,zien trappen,,
21,Crossing Dependencies,81,cross_dependency,47,Ungrammatical,Esmée heeft de voetballer de bal trappen zien vanmiddag.,trappen zien,,
21,Crossing Dependencies,81,cross_dependency,48,Grammatical,Milan heeft de geur de keuken zien doordringen vanochtend.,zien doordringen,,
21,Crossing Dependencies,81,cross_dependency,48,Ungrammatical,Milan heeft de geur de keuken doordringen zien vanochtend.,doordringen zien,,
21,Crossing Dependencies,81,cross_dependency,49,Grammatical,Ruben heeft de regen de straten zien overspoelen vandaag.,zien overspoelen,,
21,Crossing Dependencies,81,cross_dependency,49,Ungrammatical,Ruben heeft de regen de straten overspoelen zien vandaag.,overspoelen zien,,
21,Crossing Dependencies,81,cross_dependency,50,Grammatical,Noor heeft de geluiden de jungle horen ontwaken vanochtend.,horen ontwaken,,
21,Crossing Dependencies,81,cross_dependency,50,Ungrammatical,Noor heeft de geluiden de jungle ontwaken horen vanochtend.,ontwaken horen,,
21,Crossing Dependencies,81,cross_dependency,51,Grammatical,Lars heeft de trein de rails zien volgen vanochtend.,zien volgen,,
21,Crossing Dependencies,81,cross_dependency,51,Ungrammatical,Lars heeft de trein de rails volgen zien vanochtend.,volgen zien,,
21,Crossing Dependencies,81,cross_dependency,52,Grammatical,Stijn heeft de regisseur de acteurs zien regisseren gisteren.,zien regisseren,,
21,Crossing Dependencies,81,cross_dependency,52,Ungrammatical,Stijn heeft de regisseur de acteurs regisseren zien gisteren.,regisseren zien,,
21,Crossing Dependencies,81,cross_dependency,53,Grammatical,Mila heeft de sneeuw de grond zien bedekken vannacht.,zien bedekken,,
21,Crossing Dependencies,81,cross_dependency,53,Ungrammatical,Mila heeft de sneeuw de grond bedekken zien vannacht.,bedekken zien,,
21,Crossing Dependencies,81,cross_dependency,54,Grammatical,Daan heeft de zon de lucht zien verlichten vanochtend.,zien verlichten,,
21,Crossing Dependencies,81,cross_dependency,54,Ungrammatical,Daan heeft de zon de lucht verlichten zien vanochtend.,verlichten zien,,
21,Crossing Dependencies,81,cross_dependency,55,Grammatical,Fleur heeft de kok de ingrediënten zien mengen vanmiddag.,zien mengen,,
21,Crossing Dependencies,81,cross_dependency,55,Ungrammatical,Fleur heeft de kok de ingrediënten mengen zien vanmiddag.,mengen zien,,
21,Crossing Dependencies,81,cross_dependency,56,Grammatical,Olivia heeft de bloemen de tuin zien kleuren vandaag.,zien kleuren,,
21,Crossing Dependencies,81,cross_dependency,56,Ungrammatical,Olivia heeft de bloemen de tuin kleuren zien vandaag.,kleuren zien,,
21,Crossing Dependencies,81,cross_dependency,57,Grammatical,Julia heeft de woorden de spreker zien inspireren gisteren.,zien inspireren,,
21,Crossing Dependencies,81,cross_dependency,57,Ungrammatical,Julia heeft de woorden de spreker inspireren zien gisteren.,inspireren zien,,
21,Crossing Dependencies,81,cross_dependency,58,Grammatical,Milan heeft de regen de ramen zien beslaan vanochtend.,zien beslaan,,
21,Crossing Dependencies,81,cross_dependency,58,Ungrammatical,Milan heeft de regen de ramen beslaan zien vanochtend.,beslaan zien,,
21,Crossing Dependencies,81,cross_dependency,59,Grammatical,Jasper heeft de wolken de zon zien verbergen vanmiddag.,zien verbergen,,
21,Crossing Dependencies,81,cross_dependency,59,Ungrammatical,Jasper heeft de wolken de zon verbergen zien vanmiddag.,verbergen zien,,
21,Crossing Dependencies,81,cross_dependency,60,Grammatical,Evi heeft de klok de tijd zien aangeven vandaag.,zien aangeven,,
21,Crossing Dependencies,81,cross_dependency,60,Ungrammatical,Evi heeft de klok de tijd aangeven zien vandaag.,aangeven zien,,
21,Crossing Dependencies,81,cross_dependency,61,Grammatical,Timo heeft de regenboog de lucht zien sieren vanmiddag.,zien sieren,,
21,Crossing Dependencies,81,cross_dependency,61,Ungrammatical,Timo heeft de regenboog de lucht sieren zien vanmiddag.,sieren zien,,
21,Crossing Dependencies,81,cross_dependency,62,Grammatical,Emma heeft de koffie de ochtend zien starten vandaag.,zien starten,,
21,Crossing Dependencies,81,cross_dependency,62,Ungrammatical,Emma heeft de koffie de ochtend starten zien vandaag.,starten zien,,
21,Crossing Dependencies,81,cross_dependency,63,Grammatical,Evi heeft de sneeuwvlokken de grond zien bedekken vannacht.,zien bedekken,,
21,Crossing Dependencies,81,cross_dependency,63,Ungrammatical,Evi heeft de sneeuwvlokken de grond bedekken zien vannacht.,bedekken zien,,
21,Crossing Dependencies,81,cross_dependency,64,Grammatical,Marloes heeft de kunstenaar het schilderij zien maken gisteren.,zien maken,,
21,Crossing Dependencies,81,cross_dependency,64,Ungrammatical,Marloes heeft de kunstenaar het schilderij maken zien gisteren.,maken zien,,
21,Crossing Dependencies,81,cross_dependency,65,Grammatical,Boris heeft de kok het gerecht zien bereiden vanochtend.,zien bereiden,,
21,Crossing Dependencies,81,cross_dependency,65,Ungrammatical,Boris heeft de kok het gerecht bereiden zien vanochtend.,bereiden zien,,
21,Crossing Dependencies,81,cross_dependency,66,Grammatical,Esmée heeft de automonteur de auto zien repareren vorige week.,zien repareren,,
21,Crossing Dependencies,81,cross_dependency,66,Ungrammatical,Esmée heeft de automonteur de auto repareren zien vorige week.,repareren zien,,
21,Crossing Dependencies,81,cross_dependency,67,Grammatical,Mitchell heeft de tuinman de planten zien verzorgen deze middag.,zien verzorgen,,
21,Crossing Dependencies,81,cross_dependency,67,Ungrammatical,Mitchell heeft de tuinman de planten verzorgen zien deze middag.,verzorgen zien,,
21,Crossing Dependencies,81,cross_dependency,68,Grammatical,Anna heeft de schrijver het boek zien schrijven vorige maand.,zien schrijven,,
21,Crossing Dependencies,81,cross_dependency,68,Ungrammatical,Anna heeft de schrijver het boek schrijven zien vorige maand.,schrijven zien,,
21,Crossing Dependencies,81,cross_dependency,69,Grammatical,Isabella heeft de danser de choreografie zien uitvoeren gisteravond.,zien uitvoeren,,
21,Crossing Dependencies,81,cross_dependency,69,Ungrammatical,Isabella heeft de danser de choreografie uitvoeren zien gisteravond.,uitvoeren zien,,
21,Crossing Dependencies,81,cross_dependency,70,Grammatical,Maarten heeft de ober de bestelling horen opnemen vanavond.,horen opnemen,,
21,Crossing Dependencies,81,cross_dependency,70,Ungrammatical,Maarten heeft de ober de bestelling opnemen horen vanavond.,opnemen horen,,
21,Crossing Dependencies,81,cross_dependency,71,Grammatical,Olivia heeft de monteur de machine zien repareren vanmiddag.,zien repareren,,
21,Crossing Dependencies,81,cross_dependency,71,Ungrammatical,Olivia heeft de monteur de machine repareren zien vanmiddag.,repareren zien,,
21,Crossing Dependencies,81,cross_dependency,72,Grammatical,Jasper heeft de trainer het team zien coachen vorig seizoen.,zien coachen,,
21,Crossing Dependencies,81,cross_dependency,72,Ungrammatical,Jasper heeft de trainer het team coachen zien vorig seizoen.,coachen zien,,
21,Crossing Dependencies,81,cross_dependency,73,Grammatical,Milan heeft de spreker de presentatie zien geven vorige maand.,zien geven,,
21,Crossing Dependencies,81,cross_dependency,73,Ungrammatical,Milan heeft de spreker de presentatie geven zien vorige maand.,geven zien,,
21,Crossing Dependencies,81,cross_dependency,74,Grammatical,Laura heeft de schilder het huis zien verven afgelopen week.,zien verven,,
21,Crossing Dependencies,81,cross_dependency,74,Ungrammatical,Laura heeft de schilder het huis verven zien afgelopen week.,verven zien,,
21,Crossing Dependencies,81,cross_dependency,75,Grammatical,Casper heeft de violist het concert zien spelen gisteravond.,zien spelen,,
21,Crossing Dependencies,81,cross_dependency,75,Ungrammatical,Casper heeft de violist het concert spelen zien gisteravond.,spelen zien,,
21,Crossing Dependencies,81,cross_dependency,76,Grammatical,Sophie heeft de barista de koffie zien zetten vanmorgen.,zien zetten,,
21,Crossing Dependencies,81,cross_dependency,76,Ungrammatical,Sophie heeft de barista de koffie zetten zien vanmorgen.,zetten zien,,
21,Crossing Dependencies,81,cross_dependency,77,Grammatical,Sanne heeft de journalist het artikel zien schrijven gisteren.,zien schrijven,,
21,Crossing Dependencies,81,cross_dependency,77,Ungrammatical,Sanne heeft de journalist het artikel schrijven zien gisteren.,schrijven zien,,
21,Crossing Dependencies,81,cross_dependency,78,Grammatical,Jordi heeft de hovenier de tuin zien onderhouden afgelopen maand.,zien onderhouden,,
21,Crossing Dependencies,81,cross_dependency,78,Ungrammatical,Jordi heeft de hovenier de tuin onderhouden zien afgelopen maand.,onderhouden zien,,
21,Crossing Dependencies,81,cross_dependency,79,Grammatical,Iris heeft de trainer de oefening zien demonstreren vanmiddag.,zien demonstreren,,
21,Crossing Dependencies,81,cross_dependency,79,Ungrammatical,Iris heeft de trainer de oefening demonstreren zien vanmiddag.,demonstreren zien,,
21,Crossing Dependencies,81,cross_dependency,80,Grammatical,Fabienne heeft de architect het gebouw zien ontwerpen vorige week.,zien ontwerpen,,
21,Crossing Dependencies,81,cross_dependency,80,Ungrammatical,Fabienne heeft de architect het gebouw ontwerpen zien vorige week.,ontwerpen zien,,
21,Crossing Dependencies,81,cross_dependency,81,Grammatical,Max heeft de bakker de broden zien bakken vanmorgen.,zien bakken,,
21,Crossing Dependencies,81,cross_dependency,81,Ungrammatical,Max heeft de bakker de broden bakken zien vanmorgen.,bakken zien,,
21,Crossing Dependencies,81,cross_dependency,82,Grammatical,Lieke heeft de trainer het team zien begeleiden vorig seizoen.,zien begeleiden,,
21,Crossing Dependencies,81,cross_dependency,82,Ungrammatical,Lieke heeft de trainer het team begeleiden zien vorig seizoen.,begeleiden zien,,
21,Crossing Dependencies,81,cross_dependency,83,Grammatical,Daan heeft de fotograaf de foto's zien maken deze ochtend.,zien maken,,
21,Crossing Dependencies,81,cross_dependency,83,Ungrammatical,Daan heeft de fotograaf de foto's maken zien deze ochtend.,maken zien,,
21,Crossing Dependencies,81,cross_dependency,84,Grammatical,Roos heeft de slager het vlees zien snijden afgelopen week.,zien snijden,,
21,Crossing Dependencies,81,cross_dependency,84,Ungrammatical,Roos heeft de slager het vlees snijden zien afgelopen week.,snijden zien,,
21,Crossing Dependencies,81,cross_dependency,85,Grammatical,Timo heeft de lerares de les zien geven vandaag.,zien geven,,
21,Crossing Dependencies,81,cross_dependency,85,Ungrammatical,Timo heeft de lerares de les geven zien vandaag.,geven zien,,
21,Crossing Dependencies,81,cross_dependency,86,Grammatical,Luna heeft de ontwerper de kleding zien ontwerpen vorige maand.,zien ontwerpen,,
21,Crossing Dependencies,81,cross_dependency,86,Ungrammatical,Luna heeft de ontwerper de kleding ontwerpen zien vorige maand.,ontwerpen zien,,
21,Crossing Dependencies,81,cross_dependency,87,Grammatical,Thijs heeft de kapper het kapsel zien knippen vanmiddag.,zien knippen,,
21,Crossing Dependencies,81,cross_dependency,87,Ungrammatical,Thijs heeft de kapper het kapsel knippen zien vanmiddag.,knippen zien,,
21,Crossing Dependencies,81,cross_dependency,88,Grammatical,Femke heeft de actrice de rol zien spelen in het theater gisteravond.,zien spelen,,
21,Crossing Dependencies,81,cross_dependency,88,Ungrammatical,Femke heeft de actrice de rol spelen zien in het theater gisteravond.,spelen zien,,
21,Crossing Dependencies,81,cross_dependency,89,Grammatical,Stijn heeft de schilder het kunstwerk zien maken vorige maand.,zien maken,,
21,Crossing Dependencies,81,cross_dependency,89,Ungrammatical,Stijn heeft de schilder het kunstwerk maken zien vorige maand.,maken zien,,
21,Crossing Dependencies,81,cross_dependency,90,Grammatical,Jasmijn heeft de atleet de sprong zien maken vandaag.,zien maken,,
21,Crossing Dependencies,81,cross_dependency,90,Ungrammatical,Jasmijn heeft de atleet de sprong maken zien vandaag.,maken zien,,
21,Crossing Dependencies,81,cross_dependency,91,Grammatical,Lars heeft de fietsenmaker de band zien plakken vanochtend.,zien plakken,,
21,Crossing Dependencies,81,cross_dependency,91,Ungrammatical,Lars heeft de fietsenmaker de band plakken zien vanochtend.,plakken zien,,
21,Crossing Dependencies,81,cross_dependency,92,Grammatical,Hugo heeft de piloot het vliegtuig zien besturen gisteren.,zien besturen,,
21,Crossing Dependencies,81,cross_dependency,92,Ungrammatical,Hugo heeft de piloot het vliegtuig besturen zien gisteren.,besturen zien,,
21,Crossing Dependencies,81,cross_dependency,93,Grammatical,Elin heeft de boer het land zien bewerken afgelopen week.,zien bewerken,,
21,Crossing Dependencies,81,cross_dependency,93,Ungrammatical,Elin heeft de boer het land bewerken zien afgelopen week.,bewerken zien,,
21,Crossing Dependencies,81,cross_dependency,94,Grammatical,Lisanne heeft de dokter de diagnose zien stellen vanmorgen.,zien stellen,,
21,Crossing Dependencies,81,cross_dependency,94,Ungrammatical,Lisanne heeft de dokter de diagnose stellen zien vanmorgen.,stellen zien,,
21,Crossing Dependencies,81,cross_dependency,95,Grammatical,Thijs heeft de barman de drankjes zien mixen vorige maand.,zien mixen,,
21,Crossing Dependencies,81,cross_dependency,95,Ungrammatical,Thijs heeft de barman de drankjes mixen zien vorige maand.,mixen zien,,
21,Crossing Dependencies,81,cross_dependency,96,Grammatical,Sophie heeft de modeontwerper de jurk zien ontwerpen gisteren.,zien ontwerpen,,
21,Crossing Dependencies,81,cross_dependency,96,Ungrammatical,Sophie heeft de modeontwerper de jurk ontwerpen zien gisteren.,ontwerpen zien,,
21,Crossing Dependencies,81,cross_dependency,97,Grammatical,Daan heeft de leraar het vak zien onderwijzen vorige week.,zien onderwijzen,,
21,Crossing Dependencies,81,cross_dependency,97,Ungrammatical,Daan heeft de leraar het vak onderwijzen zien vorige week.,onderwijzen zien,,
21,Crossing Dependencies,81,cross_dependency,98,Grammatical,Lucas heeft de tuinman de planten zien planten afgelopen maand.,zien planten,,
21,Crossing Dependencies,81,cross_dependency,98,Ungrammatical,Lucas heeft de tuinman de planten planten zien afgelopen maand.,planten zien,,
21,Crossing Dependencies,81,cross_dependency,99,Grammatical,Sanne heeft de politieagent de arrestatie zien verrichten gisteravond.,zien verrichten,,
21,Crossing Dependencies,81,cross_dependency,99,Ungrammatical,Sanne heeft de politieagent de arrestatie verrichten zien gisteravond.,verrichten zien,,
21,Crossing Dependencies,81,cross_dependency,100,Grammatical,Emma heeft de schilder het landschap zien schilderen vorige week.,zien schilderen,,
21,Crossing Dependencies,81,cross_dependency,100,Ungrammatical,Emma heeft de schilder het landschap schilderen zien vorige week.,schilderen zien,,
